"","GCI.type","Type","IsMetro","Units","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","var"
"1","Asian Anchor","EMPL",2,2000,0.0222902604399409,0.0227690049806351,0.0240229393793886,0.0246127254633079,0.0264078230717073,0.0274437750907331,0.0278327170536101,0.0284553314905175,0.0292529762312887,0.0300298323841016,0.0307320320387398,0.0313762365872808,0.0319319722569879,0.0326059732127778,0.0326502530646059,0.0328931840776749,0.0335324149839568,0.0337823862040267,"share"
"2","Asian Anchor","NGDP",2,2e+06,0.0797213151555121,0.0811080089051643,0.0833478021126298,0.08585521491613,0.0878709217307385,0.0873262270808783,0.0859549177070531,0.0835054181240303,0.0796651856591033,0.0788156371493925,0.0765676718950699,0.0744143937886371,0.0738761912042922,0.0734483104843816,0.0735945128315922,0.074744592770203,0.0752880799753977,0.0752815917551614,"share"
"3","Asian Anchor","POP",2,2000,0.0231101841612497,0.0235012599984239,0.0240694156231248,0.0251911449639576,0.0259040789047536,0.0267322133543198,0.0275549163758892,0.0285046429676567,0.0294338663761173,0.0303706635593315,0.031340547424831,0.0319063197724203,0.0323343355163362,0.0327357192010301,0.0329046359486857,0.0328063322401514,0.0327077511231138,0.0330080278465848,"share"
"4","Asian Anchor","RGDP",2,2e+06,0.0719117624502536,0.0737231082910984,0.0752591902490411,0.0764212443245725,0.0792380825383113,0.0792462269923584,0.0787491801235966,0.0791926320246498,0.0791013292551419,0.0788156371493924,0.0786036895027046,0.0776096407345975,0.0774402699241588,0.0773901019976235,0.0772783113110142,0.0772661614379728,0.0772851923306647,0.0773514052266484,"share"
"5","Emerging Gateways","EMPL",18,18000,0.0526936832169793,0.0521341653011154,0.0519472906943083,0.0523660962332691,0.054048595310253,0.0570747938732823,0.0605320511741551,0.0634539520629414,0.0675763225671059,0.0713799477777642,0.0755689759421105,0.0770218559993136,0.0792631289419064,0.0822124687875005,0.084224914620989,0.0853365923245311,0.0871799995627238,0.0883056925683278,"share"
"6","Emerging Gateways","NGDP",10,1e+07,0.146449780230823,0.149295111516992,0.153462761849845,0.159981388789433,0.161904805263844,0.164496474834335,0.162852513527372,0.156505505366271,0.157312611873589,0.159812316152553,0.160942717855059,0.162579439150879,0.165531907613107,0.167678477911105,0.170303239547343,0.171863857538128,0.173737600215354,0.174374411329673,"share"
"7","Emerging Gateways","POP",10,10000,0.0749932047143824,0.0753202281271998,0.0753514825997229,0.0754536279971112,0.0760835022562384,0.0767001423883163,0.077943904459932,0.0793122693068325,0.0808228111370374,0.0823071432213042,0.0840213052863664,0.0845837965461765,0.085147822246385,0.0856195926133892,0.0862173314501479,0.0873658211843866,0.0878131844011818,0.0881646818093649,"share"
"8","Emerging Gateways","RGDP",10,1e+07,0.123268103832648,0.127525821964626,0.131836466733312,0.137670737482773,0.144088559594158,0.14717145400348,0.1495992654434,0.150860089493966,0.155812818844369,0.159812316152553,0.164815827815734,0.1692151454604,0.174401206571025,0.180501626542874,0.183617824877416,0.18742325010566,0.190193975976766,0.190652599167172,"share"
"9","Rising stars","EMPL",182,182000,0.116987863781886,0.117891036857638,0.121028649784712,0.126191744922986,0.132558484379707,0.139925278916648,0.145629623230544,0.156522900358886,0.161793948836575,0.172251612915319,0.185777515074823,0.189473698237368,0.195288025975589,0.201130787075341,0.206523278048474,0.210156752705805,0.214688060753287,0.218182913176366,"share"
"10","Rising stars","NGDP",91,9.1e+07,0.471375751664664,0.472654501648687,0.48125710324676,0.496889285567885,0.505400261146853,0.518068056995436,0.521534926785911,0.50721631803973,0.511390805331571,0.521493961435345,0.524045766133865,0.527883969053782,0.531632638898527,0.528288262770721,0.524964520227179,0.521619905450865,0.517270509621767,0.518167766700081,"share"
