"","metro","gdpusc_2016","gdpppp_2016","emptot_2016","poptott_2016","gdppk_2016","CAGR_gdpusc_2000_2016","CAGR_gdpusc_2014_2016","CAGR_emptot_2000_2016","CAGR_emptot_2014_2016","CAGR_gdppk_2000_2016","CAGR_gdppk_2014_2016","CAGR_poptott_2000_2016","CAGR_poptott_2014_2016","cat"
"1","Shanghai",375083.827964348,891764.631153807,13796.04,24197,15.5012533770446,0.0990187152701356,0.0684997506173244,0.0267911569600832,0.005103298114425,0.0713459830657068,0.0698192707186192,0.0258298744213723,-0.00123340468564226,"1"
"2","Beijing",305637.415337939,713400.538488992,12226.12,21729,14.0658758036697,0.100110797036075,0.0679997050898802,0.035186337119905,0.0280966860586822,0.0683025219444271,0.0627522439065138,0.0297745951528348,0.00493761477658938,"1"
"3","Guangzhou, Guangdong",266693.961839603,569765.865204479,6249.64065538431,13688.9231730799,19.4824646517174,0.121877583132255,0.0814416434411502,0.05142286327195,0.0197713017218404,0.100696841733491,0.0571358988317954,0.0192430291390737,0.0229920719145138,"1"
"4","Shenzhen",232889.758616916,548665.809883923,9295.64785314501,11543.5710035933,20.1748452488769,0.127924799283297,0.0830239903425964,0.0734891358791125,0.0180413036430431,0.0943088060158648,0.0465389861217176,0.0307189278589661,0.0348625370910314,"1"
"5","Tianjin",253644.959500426,512442.022598855,9208.193,15621.2,16.2372263014638,0.138015498031536,0.0914988550098115,0.0406303127525651,0.0245553365023439,0.10679746769189,0.0755526625146372,0.0282057298204239,0.0148260452983233,"1"
"6","Chongqing",227172.04824791,500690.027425752,17427.53,30484.3,7.45209987593317,0.127201131544735,0.108499010863654,0.00300136343009916,0.0134088113310451,0.122444638870947,0.0980811619918713,0.00423761895158781,0.00948732136783526,"1"
"7","Foshan, Guangdong",130841.332185064,245815.277260358,2895.6313385817,7528.52624937745,17.379408379679,0.128311468658746,0.0793905682111267,0.0325688356128104,-0.0167363339719907,0.10534403218848,0.0665598526340696,0.020778541161337,0.012030000515554,"1"
"8","Wuhan, Hubei",142282.901188811,343098.682484387,4561.22038949482,10673.6699126785,13.3302699402202,0.126586209354066,0.0859617712551277,0.0309095276171594,0.0447271064399808,0.106724680726378,0.0687494817459886,0.017946223639516,0.0161050740169904,"1"
"9","Hangzhou, Zhejiang",137060.742075154,313637.36638676,5516.05682922859,9103.71290583793,15.0554771984583,0.11352008325389,0.0880323237784688,0.0772818453491102,0.0285989373949684,0.0954676596280635,0.0753064432326691,0.0164791935819955,0.0118346547869108,"1"
"10","Nanjing, Jiangsu",126277.450155313,302818.228005578,5455.90232644349,8259.12535607275,15.2894458809085,0.124060301494499,0.084882733896517,0.0576520690979232,0.0138424091988958,0.103089772584081,0.0820532323727332,0.019010718285686,0.00261493745328889,"1"
