metro,GCI type,Capital,modified_cat
"Anyang, Henan",Rising stars,0,2
"Baoding, Hebei",Rising stars,0,2
"Baotou, Inner Mongolia",Rising stars,0,2
Beijing,Asian Anchor,1,1
"Binzhou, Shandong",Rising stars,0,2
"Cangzhou, Hebei",Rising stars,0,2
"Changchun, Jilin",Rising stars,1,3
"Changde, Hunan",Rising stars,0,2
"Changsha, Hunan",Rising stars,1,1
"Changzhou, Jiangsu",Rising stars,0,2
"Chengdu, Sichuan",Rising stars,1,1
"Chenzhou, Hunan",Rising stars,0,2
Chongqing,Emerging Gateways,1,1
"Dalian, Liaoning",Rising stars,0,3
"Daqing, Heilongjiang",Rising stars,0,3
"Dezhou, Shandong",Rising stars,0,2
"Dongguan, Guangdong",Rising stars,0,2
"Dongying, Shandong",Rising stars,0,2
"Erdos, Inner Mongolia",Rising stars,0,2
"Foshan, Guangdong",Rising stars,0,1
"Fuzhou, Fujian",Rising stars,1,2
"Ganzhou, Jiangxi",Rising stars,0,2
"Guangzhou, Guangdong",Emerging Gateways,1,1
"Guiyang, Guizhou",Rising stars,1,2
"Handan, Hebei",Rising stars,0,2
"Hangzhou, Zhejiang",Emerging Gateways,1,1
"Harbin, Heilongjiang",Rising stars,1,3
"Hefei, Anhui",Rising stars,1,2
"Hengyang, Hunan",Rising stars,0,2
"Heze, Shandong",Rising stars,0,2
"Hohhot, Inner Mongolia",Rising stars,1,2
"Huaian, Jiangsu",Rising stars,0,2
"Huizhou, Guangdong",Rising stars,0,2
"Huzhou, Zhejiang",Rising stars,0,2
"Jiangmen, Guangdong",Rising stars,0,2
"Jiaozuo, Henan",Rising stars,0,2
"Jiaxing, Zhejiang",Rising stars,0,2
"Jilin, Jilin",Rising stars,0,3
"Jinan, Shandong",Emerging Gateways,1,2
"Jinhua, Zhejiang",Rising stars,0,2
"Jining, Shandong",Rising stars,0,2
"Kunming, Yunnan",Rising stars,1,2
"Langfang, Hebei",Rising stars,0,2
"Lanzhou, Gansu",Rising stars,1,2
"Lianyungang, Jiangsu",Rising stars,0,2
"Liaocheng, Shandong",Rising stars,0,2
"Linyi, Shandong",Rising stars,0,2
"Liuzhou, Guangxi",Rising stars,0,2
"Luoyang, Henan",Rising stars,0,2
"Maoming, Guangdong",Rising stars,0,2
"Nanchang, Jiangxi",Rising stars,1,2
"Nanjing, Jiangsu",Emerging Gateways,1,1
"Nanning, Guangxi",Rising stars,1,2
"Nantong, Jiangsu",Rising stars,0,2
"Nanyang, Henan",Rising stars,0,2
"Ningbo, Zhejiang",Emerging Gateways,0,1
"Qingdao, Shandong",Rising stars,0,1
"Quanzhou, Fujian",Rising stars,0,2
Shanghai,Asian Anchor,1,1
"Shaoxing, Zhejiang",Rising stars,0,2
"Shenyang, Liaoning",Rising stars,1,3
Shenzhen,Emerging Gateways,0,1
"Shijiazhuang, Hebei",Rising stars,1,2
"Suqian, Jiangsu",Rising stars,0,2
"Suzhou, Jiangsu",Rising stars,0,1
"Taian, Shandong",Rising stars,0,2
"Taiyuan, Shanxi",Rising stars,1,2
"Taizhou, Jiangsu",Rising stars,0,2
"Taizhou, Zhejiang",Rising stars,0,2
"Tangshan, Hebei",Rising stars,0,2
Tianjin,Emerging Gateways,1,1
"Urumqi, Xinjiang",Rising stars,1,2
"Weifang, Shandong",Rising stars,0,2
"Weihai, Shandong",Rising stars,0,2
"Wenzhou, Zhejiang",Rising stars,0,2
"Wuhan, Hubei",Emerging Gateways,1,1
"Wuhu, Anhui",Rising stars,0,2
"Wuxi, Jiangsu",Rising stars,0,1
"Xiamen, Fujian",Rising stars,0,2
"Xian, Shaanxi",Emerging Gateways,1,2
"Xiangfan, Hubei",Rising stars,0,2
"Xianyang, Shaanxi",Rising stars,0,2
"Xinxiang, Henan",Rising stars,0,2
"Xuchang, Henan",Rising stars,0,2
"Xuzhou, Jiangsu",Rising stars,0,2
"Yancheng, Jiangsu",Rising stars,0,2
"Yangzhou, Jiangsu",Rising stars,0,2
"Yantai, Shandong",Rising stars,0,2
"Yichang, Hubei",Rising stars,0,2
"Yueyang, Hunan",Rising stars,0,2
"Yulin, Shaanxi",Rising stars,0,2
"Zaozhuang, Shandong",Rising stars,0,2
"Zhangzhou, Fujian",Rising stars,0,2
"Zhanjiang, Guangdong",Rising stars,0,2
"Zhaoqing, Guangdong",Rising stars,0,2
"Zhengzhou, Henan",Rising stars,1,1
"Zhenjiang, Jiangsu",Rising stars,0,2
"Zhongshan, Guangdong",Rising stars,0,2
"Zhoukou, Henan",Rising stars,0,2
"Zhuhai, Guangdong",Rising stars,0,2
"Zhuzhou, Hunan",Rising stars,0,2
"Zibo, Shandong",Rising stars,0,2
"Zunyi, Guizhou",Rising stars,0,2
